Property_ID,Location,Property_Type,Bedrooms,Bathrooms,Area_sqft,Floor,Total_Floors,Age_Years,Furnishing,Parking_Spaces,Price_Lakhs
1,Worli,Villa,1,1,512,9,15,7,Fully Furnished,3,338.04
2,Mulund West,Apartment,1,1,505,33,42,7,Fully Furnished,0,142.72
3,Vile Parle East,Apartment,2,2,951,1,15,8,Semi-Furnished,3,292.53
4,Ghatkopar East,Apartment,2,1,844,23,34,3,Semi-Furnished,2,281.55
5,Vile Parle East,Villa,1,1,470,19,45,17,Fully Furnished,3,175.99
6,Powai,Apartment,3,2,1183,19,21,24,Unfurnished,1,333.3
7,Bhandup West,Apartment,2,2,831,18,40,6,Fully Furnished,3,209.65
8,Vile Parle East,Apartment,3,3,1423,18,38,12,Fully Furnished,3,536.64
9,Ghatkopar East,Apartment,3,3,982,21,33,25,Unfurnished,1,243.71
10,Thane West,Apartment,2,2,852,30,34,28,Unfurnished,1,134.52
11,Goregaon East,Apartment,3,3,1358,15,19,11,Semi-Furnished,2,373.89
12,Bandra East,Apartment,2,2,998,39,39,13,Semi-Furnished,2,436.57
13,Goregaon East,Apartment,5,4,3393,8,42,23,Fully Furnished,1,859.85
14,Borivali East,Apartment,2,2,906,12,44,24,Fully Furnished,0,165.07
15,Dadar East,Apartment,2,2,732,34,34,17,Semi-Furnished,2,267.66
16,Kandivali West,Apartment,4,4,1645,16,44,1,Unfurnished,2,513.97
17,Bandra West,Apartment,5,5,2257,31,39,4,Semi-Furnished,1,1696.11
18,Powai,Apartment,4,4,2130,26,37,9,Fully Furnished,2,930.94
19,Bandra West,Apartment,2,3,933,38,41,7,Unfurnished,0,520.05
20,Bandra West,Apartment,4,4,1472,16,24,16,Semi-Furnished,3,781.29
21,Dadar West,Apartment,3,3,1434,27,33,25,Unfurnished,0,521.99
22,Mulund West,Apartment,2,1,994,7,10,20,Fully Furnished,2,218.37
23,Goregaon West,Apartment,2,3,879,28,33,4,Semi-Furnished,1,341.94
24,Mulund East,Apartment,3,4,1050,35,35,1,Unfurnished,0,296.78
25,Powai,Apartment,4,3,1568,1,29,12,Semi-Furnished,1,536.4
26,Ghatkopar West,Apartment,5,5,3355,32,34,22,Semi-Furnished,1,916.19
27,Ghatkopar West,Apartment,3,3,1008,38,45,1,Fully Furnished,2,428.02
